"yr","region","codsp","codgr","fl","source"
1977,"NE","BLF","TR",73,"ICCAT"
1977,"NE","BLF","TR",74,"ICCAT"
1977,"NE","BLF","TR",74,"ICCAT"
1977,"NE","BLF","TR",74,"ICCAT"
1977,"NE","BLF","TR",74,"ICCAT"
1977,"NE","BLF","TR",75,"ICCAT"
1977,"NE","BLF","TR",75,"ICCAT"
1977,"NE","BLF","TR",75,"ICCAT"
1977,"NE","BLF","TR",75,"ICCAT"
1977,"NE","BLF","TR",75,"ICCAT"
1977,"NE","BLF","TR",76,"ICCAT"
1977,"NE","BLF","TR",76,"ICCAT"
1977,"NE","BLF","TR",77,"ICCAT"
1977,"NE","BLF","TR",77,"ICCAT"
1977,"NE","BLF","TR",77,"ICCAT"
1977,"NE","BLF","TR",77,"ICCAT"
1977,"NE","BLF","TR",77,"ICCAT"
1977,"NE","BLF","TR",78,"ICCAT"
1977,"NE","BLF","TR",78,"ICCAT"
1977,"NE","BLF","TR",79,"ICCAT"
1977,"NE","BLF","TR",80,"ICCAT"
1977,"NE","BLF","TR",81,"ICCAT"
1984,"SE","FRI","BB",42,"ICCAT"
1984,"SE","FRI","BB",42,"ICCAT"
1984,"SE","FRI","BB",45,"ICCAT"
1984,"SE","FRI","BB",45,"ICCAT"
1984,"SE","FRI","BB",46,"ICCAT"
1984,"SE","FRI","BB",46,"ICCAT"
1984,"SE","FRI","BB",46,"ICCAT"
1984,"SE","FRI","BB",47,"ICCAT"
1984,"SE","FRI","BB",47,"ICCAT"
1984,"SE","FRI","BB",47,"ICCAT"
1984,"SE","FRI","BB",48,"ICCAT"
1984,"SE","FRI","BB",48,"ICCAT"
1984,"SE","FRI","BB",48,"ICCAT"
1984,"SE","FRI","BB",49,"ICCAT"
1984,"SE","FRI","BB",49,"ICCAT"
1984,"SE","FRI","BB",49,"ICCAT"
1984,"SE","FRI","BB",50,"ICCAT"
1984,"SE","FRI","BB",51,"ICCAT"
1986,"NE","WAH","LL",114,"ICCAT"
1986,"NE","WAH","LL",120,"ICCAT"
1986,"NE","WAH","LL",120,"ICCAT"
1986,"NE","WAH","LL",124,"ICCAT"
1986,"NE","WAH","LL",124,"ICCAT"
1986,"NE","WAH","LL",124,"ICCAT"
1986,"NE","WAH","LL",128,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",130,"ICCAT"
1986,"NE","WAH","LL",132,"ICCAT"
1986,"NE","WAH","LL",134,"ICCAT"
1986,"NE","WAH","LL",134,"ICCAT"
1986,"NE","WAH","LL",134,"ICCAT"
1986,"NE","WAH","LL",134,"ICCAT"
