"year","species","catch","type"
2004,"FRI",413.8,"ICCAT"
2004,"KGM",246.612,"ICCAT"
2004,"LTA",320,"ICCAT"
2004,"WAH",519.3075,"ICCAT"
2005,"BLF",90.835,"ICCAT"
2005,"BLT",0,"ICCAT"
2005,"BON",90,"ICCAT"
2005,"BRS",471,"ICCAT"
2005,"DOL",2311.183,"ICCAT"
2005,"FRI",531.99,"ICCAT"
2005,"KGM",201.97,"ICCAT"
2005,"LTA",280,"ICCAT"
2005,"WAH",448.558,"ICCAT"
2006,"BLF",242.24,"ICCAT"
2006,"BLT",0,"ICCAT"
2006,"BON",0,"ICCAT"
2006,"BRS",1431.9,"ICCAT"
2006,"DOL",761.39,"ICCAT"
2006,"FRI",603.139,"ICCAT"
2006,"KGM",315.631,"ICCAT"
2006,"LTA",0,"ICCAT"
2006,"WAH",110.979,"ICCAT"
2007,"BLF",233.059183,"ICCAT"
2007,"BLT",0,"ICCAT"
2007,"BON",0,"ICCAT"
2007,"BRS",563.1877,"ICCAT"
2007,"DOL",4270.144102,"ICCAT"
2007,"FRI",202.400147,"ICCAT"
2007,"KGM",33.415,"ICCAT"
2007,"LTA",0,"ICCAT"
2007,"WAH",75.339569,"ICCAT"
2008,"BLF",266.39351,"ICCAT"
2008,"BLT",0,"ICCAT"
2008,"BON",0,"ICCAT"
2008,"BRS",1520.90543,"ICCAT"
2008,"DOL",472.011554,"ICCAT"
2008,"FRI",148.83,"ICCAT"
2008,"KGM",0.132563,"ICCAT"
2008,"LTA",0,"ICCAT"
2008,"WAH",76.057455,"ICCAT"
2009,"BLF",9.565,"ICCAT"
2009,"BLT",0,"ICCAT"
2009,"BON",0,"ICCAT"
2009,"BRS",1042.046565,"ICCAT"
2009,"DOL",4399.651,"ICCAT"
2009,"FRI",313.194,"ICCAT"
2009,"KGM",0,"ICCAT"
2009,"LTA",0,"ICCAT"
2009,"WAH",69.998,"ICCAT"
2010,"BLF",8.56161,"ICCAT"
2010,"BLT",0,"ICCAT"
2010,"BON",0,"ICCAT"
2010,"BRS",0,"ICCAT"
2010,"DOL",2898.83679,"ICCAT"
2010,"FRI",204.477,"ICCAT"
2010,"KGM",0.5742,"ICCAT"
2010,"LTA",0,"ICCAT"
2010,"WAH",19.33117,"ICCAT"
2011,"BLF",45.66106,"ICCAT"
2011,"BLT",0,"ICCAT"
2011,"BON",170.57982,"ICCAT"
2011,"BRS",2.77,"ICCAT"
2011,"DOL",4379.23162,"ICCAT"
2011,"FRI",347.466,"ICCAT"
2011,"KGM",0.57364,"ICCAT"
2011,"LTA",22,"ICCAT"
2011,"WAH",357.47848,"ICCAT"
2012,"BLF",123.68932,"ICCAT"
2012,"BLT",93.585,"ICCAT"
2012,"BON",0,"ICCAT"
2012,"BRS",0,"ICCAT"
2012,"DOL",640.7801,"ICCAT"
2012,"FRI",259.242,"ICCAT"
2012,"KGM",0,"ICCAT"
2012,"LTA",580.627,"ICCAT"
2012,"WAH",212.5021,"ICCAT"
2013,"BLF",109.822571,"ICCAT"
2013,"BLT",406.07013,"ICCAT"
2013,"BON",38.403,"ICCAT"
2013,"BRS",6.041,"ICCAT"
2013,"DOL",774.62242,"ICCAT"
2013,"FRI",227.407,"ICCAT"
2013,"KGM",0,"ICCAT"
2013,"LTA",0,"ICCAT"
2013,"WAH",477.46546,"ICCAT"
2014,"BLF",298.544,"ICCAT"
2014,"BLT",0,"ICCAT"
2014,"BON",0,"ICCAT"
2014,"BRS",2.299,"ICCAT"
2014,"DOL",762.498,"ICCAT"
2014,"FRI",292.823,"ICCAT"
2014,"KGM",0,"ICCAT"
2014,"LTA",0,"ICCAT"
2014,"WAH",153.204,"ICCAT"
2015,"BLF",324.88246,"ICCAT"
2015,"BLT",132.91102,"ICCAT"
2015,"BON",1.261,"ICCAT"
2015,"BRS",0.62837,"ICCAT"
